id,person_id,type,value,verified
AT-00097,P-0059,phone,9859945315,1
AT-00098,P-0060,phone,9924522848,1
AT-00099,P-0060,vehicle,KA20AB9006,1
AT-00100,P-0061,phone,9234713962,1
AT-00101,P-0061,vehicle,KA46HG2518,1
AT-00102,P-0062,phone,9712612227,1
AT-00103,P-0062,vehicle,KA35AB6899,1
AT-00104,P-0063,phone,9466865871,1
AT-00105,P-0063,vehicle,KA10HG7216,1
AT-00106,P-0064,phone,9290115702,1
AT-00107,P-0065,phone,9126937611,1
AT-00108,P-0066,phone,9990977940,1
AT-00109,P-0066,vehicle,KA37CZ4132,1
AT-00110,P-0067,phone,9449610998,1
AT-00111,P-0067,vehicle,KA39HG1047,1
AT-00112,P-0068,phone,9511013965,1
AT-00113,P-0068,vehicle,KA47MJ3485,1
AT-00114,P-0069,phone,9264357595,1
AT-00115,P-0069,vehicle,KA32CZ8879,1
AT-00116,P-0070,phone,9629217195,1
AT-00117,P-0070,vehicle,KA36AB4765,1
AT-00118,P-0071,phone,9933401933,1
AT-00119,P-0071,vehicle,KA33AB9851,1
AT-00120,P-0072,phone,9248798521,1
AT-00121,P-0073,phone,9534225000,1
AT-00122,P-0074,phone,9427568311,1
AT-00123,P-0074,vehicle,KA46PL5235,1
AT-00124,P-0075,phone,9732728843,1
AT-00125,P-0076,phone,9946075264,1
AT-00126,P-0076,vehicle,KA42AB8752,1
AT-00127,P-0077,phone,9837872252,1
AT-00128,P-0077,vehicle,KA45MJ5615,1
AT-00129,P-0078,phone,9334849382,1
AT-00130,P-0078,vehicle,KA11CZ1368,1
AT-00131,P-0079,phone,9821572138,1
AT-00132,P-0080,phone,9772936578,1
AT-00133,P-0081,phone,9626815896,1
AT-00134,P-0082,phone,9926880843,1
AT-00135,P-0082,vehicle,KA10HG6192,1
AT-00136,P-0083,phone,9930104494,1
AT-00137,P-0084,phone,9596143536,1
AT-00138,P-0084,vehicle,KA08CZ5523,1
AT-00139,P-0085,phone,9511690492,1
AT-00140,P-0086,phone,9484194972,1
AT-00141,P-0086,vehicle,KA13AB6683,1
AT-00142,P-0087,phone,9205618910,1
AT-00143,P-0087,vehicle,KA51MJ7177,1
AT-00144,P-0088,phone,9515455525,1
AT-00145,P-0088,vehicle,KA42MJ2497,1
AT-00146,P-0089,phone,9548828832,1
AT-00147,P-0089,vehicle,KA15PL8612,1
AT-00148,P-0090,phone,9340045552,1
AT-00149,P-0090,vehicle,KA45AB3472,1
AT-00150,P-0091,phone,9721926327,1
AT-00151,P-0092,phone,9253611652,1
AT-00152,P-0093,phone,9715605284,1
AT-00153,P-0094,phone,9959781255,1
AT-00154,P-0095,phone,9383855044,1
AT-00155,P-0096,phone,9648000862,1
AT-00156,P-0097,phone,9855937063,1
AT-00157,P-0098,phone,9422224052,1
AT-00158,P-0099,phone,9465298180,1
AT-00159,P-0100,phone,9710073239,1
AT-00160,P-0101,phone,9133191194,1
AT-00161,P-0102,phone,9549925639,1
AT-00162,P-0103,phone,9327667647,1
AT-00163,P-0104,phone,9738659548,1
AT-00164,P-0105,phone,9225856897,1
AT-00165,P-0106,phone,9347162486,1
AT-00166,P-0107,phone,9130551561,1
AT-00167,P-0108,phone,9245242643,1
AT-00168,P-0109,phone,9525861303,1
AT-00169,P-0110,phone,9360949975,1
AT-00170,P-0111,phone,9663151892,1
AT-00171,P-0112,phone,9933037161,1
AT-00172,P-0113,phone,9315300402,1
AT-00173,P-0114,phone,9425225616,1
AT-00174,P-0115,phone,9166068218,1
AT-00175,P-0116,phone,9691639992,1
AT-00176,P-0117,phone,9343701811,1
AT-00177,P-0118,phone,9374830951,1
AT-00178,P-0119,phone,9909365609,1
AT-00179,P-0120,phone,9932492118,1
AT-00180,P-0121,phone,9244111625,1
AT-00181,P-0122,phone,9706297103,1
AT-00182,P-0123,phone,9612089061,1
AT-00183,P-0124,phone,9459881666,1
AT-00184,P-0125,phone,9289163947,1
AT-00185,P-0126,phone,9725139818,1
AT-00186,P-0127,phone,9556181590,1
AT-00187,P-0128,phone,9914942974,1
AT-00188,P-0129,phone,9337990465,1
AT-00189,P-0130,phone,9227604369,1
AT-00190,P-0131,phone,9627630230,1
AT-00191,P-0132,phone,9447722250,1
AT-00192,P-0133,phone,9811422258,1
AT-00193,P-0134,phone,9853309730,1
AT-00194,P-0135,phone,9448491129,1
AT-00195,P-0136,phone,9892023423,1
AT-00196,P-0137,phone,9876118809,1
AT-00197,P-0138,phone,9334980742,1
AT-00198,P-0139,phone,9335063616,1
AT-00199,P-0140,phone,9165707928,1
AT-00200,P-0141,phone,9500873246,1
AT-00201,P-0142,phone,9668365445,1
AT-00202,P-0143,phone,9596502995,1
AT-00203,P-0144,phone,9728767263,1
AT-00204,P-0145,phone,9105809898,1
AT-00205,P-0146,phone,9597340010,1
AT-00206,P-0147,phone,9167789784,1
AT-00207,P-0148,phone,9266826033,1
AT-00208,P-0149,phone,9679792194,1
AT-00209,P-0150,phone,9610415116,1
AT-00210,P-0151,phone,9521187252,1
AT-00211,P-0152,phone,9948122178,1
AT-00212,P-0153,phone,9289271423,1
AT-00213,P-0154,phone,9840342091,1
AT-00214,P-0155,phone,9129890709,1
AT-00215,P-0156,phone,9487237101,1
AT-00216,P-0157,phone,9442929615,1
AT-00217,P-0158,phone,9567848532,1
AT-00218,P-0159,phone,9400134353,1
AT-00219,P-0160,phone,9634884343,1
AT-00220,P-0161,phone,9940429464,1
AT-00221,P-0162,phone,9547564001,1
AT-00222,P-0163,phone,9604893684,1
AT-00223,P-0164,phone,9223332076,1
AT-00224,P-0165,phone,9327369929,1
AT-00225,P-0166,phone,9781386212,1
AT-00226,P-0167,phone,9202509697,1
AT-00227,P-0168,phone,9638605449,1
AT-00228,P-0169,phone,9113928178,1
AT-00229,P-0170,phone,9359718662,1
AT-00230,P-0171,phone,9390620599,1
AT-00231,P-0172,phone,9226508545,1
AT-00232,P-0173,phone,9210002506,1
AT-00233,P-0174,phone,9395975290,1
AT-00234,P-0175,phone,9198007527,1
AT-00235,P-0176,phone,9618703297,1
AT-00236,P-0177,phone,9854057806,1
AT-00237,P-0178,phone,9867327121,1
AT-00238,P-0179,phone,9399068620,1
AT-00239,P-0180,phone,9384833953,1
AT-00240,P-0181,phone,9180259920,1
AT-00241,P-0182,phone,9883604590,1
AT-00242,P-0183,phone,9781133083,1
AT-00243,P-0184,phone,9100980782,1
AT-00244,P-0185,phone,9479169990,1
AT-00245,P-0186,phone,9891489412,1
AT-00246,P-0187,phone,9981324869,1
AT-00247,P-0188,phone,9872414000,1
AT-00248,P-0189,phone,9135682205,1
AT-00249,P-0190,phone,9799260993,1
AT-00250,P-0191,phone,9643654440,1
AT-00251,P-0192,phone,9660459696,1
AT-00252,P-0193,phone,9105295214,1
AT-00253,P-0194,phone,9395454719,1
AT-00254,P-0195,phone,9646322737,1
AT-00255,P-0196,phone,9768594758,1
AT-00256,P-0197,phone,9103991260,1
AT-00257,P-0198,phone,9892180918,1
AT-00258,P-0199,phone,9829898044,1
AT-00259,P-0200,phone,9276017885,1
AT-00260,P-0201,phone,9638698488,1
AT-00261,P-0202,phone,9619823027,1
AT-00262,P-0203,phone,9753345838,1
AT-00263,P-0204,phone,9324964605,1
AT-00264,P-0205,phone,9648225397,1
AT-00265,P-0206,phone,9547517109,1
AT-00266,P-0207,phone,9926562740,1
AT-00267,P-0208,phone,9932248730,1
AT-00268,P-0209,phone,9372281115,1
AT-00269,P-0210,phone,9104244137,1
AT-00270,P-0211,phone,9995600620,1
AT-00271,P-0212,phone,9781509821,1
AT-00272,P-0213,phone,9392322381,1
AT-00273,P-0214,phone,9462469788,1
AT-00274,P-0215,phone,9124167480,1
AT-00275,P-0216,phone,9211961574,1
AT-00276,P-0217,phone,9790830398,1
AT-00277,P-0218,phone,9127687740,1
AT-00278,P-0219,phone,9135749428,1
AT-00279,P-0220,phone,9109367006,1
AT-00280,P-0221,phone,9811302616,1
AT-00281,P-0222,phone,9944286683,1
AT-00282,P-0223,phone,9631283326,1
AT-00283,P-0224,phone,9980864176,1
AT-00284,P-0225,phone,9430944326,1
AT-00285,P-0226,phone,9704015642,1
AT-00286,P-0227,phone,9749338559,1
AT-00287,P-0228,phone,9330747990,1
AT-00288,P-0229,phone,9104125922,1
AT-00289,P-0230,phone,9512512863,1
AT-00290,P-0231,phone,9240398953,1
AT-00291,P-0232,phone,9497027908,1
AT-00292,P-0233,phone,9433341920,1
AT-00293,P-0234,phone,9495150666,1
AT-00294,P-0235,phone,9363410207,1
AT-00295,P-0236,phone,9635100714,1
AT-00296,P-0237,phone,9575079205,1
AT-00297,P-0238,phone,9571691346,1
AT-00298,P-0239,phone,9972733257,1
AT-00299,P-0240,phone,9291514661,1
AT-00300,P-0241,phone,9759568611,1
AT-00301,P-0242,phone,9626641218,1
AT-00302,P-0243,phone,9370701667,1
AT-00303,P-0244,phone,9565393504,1
AT-00304,P-0245,phone,9834826612,1
AT-00305,P-0246,phone,9521387857,1
AT-00306,P-0247,phone,9624935347,1
AT-00307,P-0248,phone,9278619257,1
AT-00308,P-0249,phone,9449359075,1
AT-00309,P-0250,phone,9575337178,1
AT-00310,P-0251,phone,9496999786,1
AT-00311,P-0252,phone,9177636330,1
AT-00312,P-0253,phone,9486107623,1
AT-00313,P-0254,phone,9726878735,1
AT-00314,P-0255,phone,9836755178,1
AT-00315,P-0256,phone,9712980552,1
AT-00316,P-0257,phone,9815146836,1
AT-00317,P-0258,phone,9353125250,1
AT-00318,P-0259,phone,9870640283,1
AT-00319,P-0260,phone,9282911504,1
AT-00320,P-0261,phone,9332479022,1
AT-00321,P-0262,phone,9994152222,1
AT-00322,P-0263,phone,9509933458,1
AT-00323,P-0264,phone,9522578630,1
AT-00324,P-0265,phone,9997996159,1
AT-00325,P-0266,phone,9249365044,1
AT-00326,P-0267,phone,9896757284,1
AT-00327,P-0268,phone,9345344314,1
AT-00328,P-0269,phone,9194511101,1
AT-00329,P-0270,phone,9216798059,1
AT-00330,P-0271,phone,9901373294,1
AT-00331,P-0272,phone,9647435707,1
AT-00332,P-0273,phone,9341927933,1
AT-00333,P-0274,phone,9955854416,1
AT-00334,P-0275,phone,9341549775,1
AT-00335,P-0276,phone,9935994042,1
AT-00336,P-0277,phone,9442383514,1
AT-00337,P-0278,phone,9974230982,1
AT-00338,P-0279,phone,9452997952,1
AT-00339,P-0280,phone,9772408124,1
AT-00340,P-0281,phone,9674971007,1
AT-00341,P-0282,phone,9144638643,1
AT-00342,P-0283,phone,9966952533,1
AT-00343,P-0284,phone,9822476826,1
AT-00344,P-0285,phone,9316340798,1
AT-00345,P-0286,phone,9585484039,1
AT-00346,P-0287,phone,9544523109,1
AT-00347,P-0288,phone,9779798246,1
AT-00348,P-0289,phone,9305328019,1
AT-00349,P-0290,phone,9221940611,1
AT-00350,P-0291,phone,9124673246,1
AT-00351,P-0292,phone,9134490894,1
AT-00352,P-0293,phone,9811835647,1
AT-00353,P-0294,phone,9191161718,1
AT-00354,P-0295,phone,9616662130,1
AT-00355,P-0296,phone,9284360929,1
AT-00356,P-0297,phone,9504756048,1
AT-00357,P-0298,phone,9783133783,1
AT-00358,P-0299,phone,9828205308,1
AT-00359,P-0300,phone,9626481544,1
AT-00360,P-0301,phone,9846069550,1
AT-00361,P-0302,phone,9515691081,1
AT-00362,P-0303,phone,9613281141,1
AT-00363,P-0304,phone,9798339092,1
AT-00364,P-0305,phone,9224283270,1
AT-00365,P-0306,phone,9770750820,1
AT-00366,P-0307,phone,9330710611,1
AT-00367,P-0308,phone,9666705206,1
AT-00368,P-0309,phone,9178781441,1
AT-00369,P-0310,phone,9853714999,1
AT-00370,P-0311,phone,9946444032,1
AT-00371,P-0312,phone,9656849389,1
AT-00372,P-0313,phone,9148741696,1
AT-00373,P-0314,phone,9136096335,1
AT-00374,P-0315,phone,9967399020,1
AT-00375,P-0316,phone,9142594666,1
AT-00376,P-0317,phone,9414685949,1
AT-00377,P-0318,phone,9399981532,1
AT-00378,P-0319,phone,9998378867,1
AT-00379,P-0320,phone,9496223487,1
AT-00380,P-0321,phone,9623055839,1
AT-00381,P-0322,phone,9953206465,1
AT-00382,P-0323,phone,9656713533,1
AT-00383,P-0324,phone,9262894314,1
AT-00384,P-0325,phone,9602320314,1
AT-00385,P-0326,phone,9594162755,1
AT-00386,P-0327,phone,9259931561,1
AT-00387,P-0328,phone,9399530891,1
AT-00388,P-0329,phone,9818639330,1
AT-00389,P-0330,phone,9432778863,1
AT-00390,P-0078,phone,9369227108,1
AT-00391,P-0067,phone,9369227108,1
AT-00392,P-0025,phone,9369227108,1
AT-00393,P-0067,vehicle,KA50MJ8972,1
AT-00394,P-0085,vehicle,KA50MJ8972,1
AT-00395,P-0031,phone,9472539442,1
AT-00396,P-0026,phone,9472539442,1
AT-00397,P-0074,phone,9472539442,1
AT-00398,P-0031,vehicle,KA11HG5156,1
AT-00399,P-0026,vehicle,KA11HG5156,1
AT-00400,P-0076,phone,9327327387,1
AT-00401,P-0055,phone,9327327387,1
AT-00402,P-0063,phone,9327327387,1
AT-00403,P-0076,vehicle,KA37CZ7752,1
AT-00404,P-0050,vehicle,KA37CZ7752,1
AT-00405,P-0067,phone,9633339170,1
AT-00406,P-0074,phone,9633339170,1
