person_id,full_name,aliases,gender,dob,age_band,address,city,district,taluk,socio_econ_band,occupation,is_offender
P-0038,Kiran Jadhav,Kanna,M,1977-05-28,45+,"15, Main Road, Peenya",Peenya,Bengaluru North,Peenya,low,shop assistant,1
P-0039,Imran Shetty,,M,2001-07-10,25-34,"47, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,private security guard,1
P-0040,Deepa Prasad,Danna,M,1988-05-26,35-44,"42, Extension, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,street vendor,1
P-0041,Kavitha Pujari,Kanna,M,1994-07-14,25-34,"159, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,mechanic,1
P-0042,Prakash Shetty,,M,1981-12-23,45+,"61, Cross Road, Aland",Aland,Kalaburagi,Aland,low,daily wage labourer,1
P-0043,Vidya Gowda,,M,1986-12-16,35-44,"42, Extension, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,low,mechanic,1
P-0044,Ravi Shetty,Ranna,F,1992-10-22,25-34,"36, Colony, Hunsur",Hunsur,Mysuru,Hunsur,middle,mechanic,1
P-0045,Kiran Kumar,,M,1981-08-13,45+,"108, Extension, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,low,daily wage labourer,1
P-0046,Chetan Naik,,M,1987-01-21,35-44,"18, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,daily wage labourer,1
P-0047,Kiran Jadhav,,F,1993-06-20,25-34,"169, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,delivery rider,1
P-0048,Shivakumar Achar,Sanna,M,1996-02-16,25-34,"51, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,shop assistant,1
P-0049,Nandini Hegde,,M,1980-02-14,45+,"7, Colony, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,auto driver,1
P-0050,Mahesh Gowda,,M,2000-05-02,25-34,"131, Cross Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,private security guard,1
P-0051,Nandini Prasad,Nanna,F,1988-07-18,35-44,"60, Main Road, Aland",Aland,Kalaburagi,Aland,low,street vendor,1
P-0052,Naveen Hegde,Nanna,M,1994-11-27,25-34,"87, Colony, Peenya",Peenya,Bengaluru North,Peenya,low,auto driver,1
P-0053,Prakash Achar,Pappa,M,1990-05-20,35-44,"172, Layout, Hunsur",Hunsur,Mysuru,Hunsur,low,street vendor,1
P-0054,Roopa Kamath,,M,1990-03-24,35-44,"173, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,daily wage labourer,1
P-0055,Girish Achar,Ganna,F,2002-02-19,18-24,"57, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,construction worker,1
P-0056,Bhavya Kumar,Bappa,M,1999-11-27,25-34,"104, Main Road, Aland",Aland,Kalaburagi,Aland,lower-middle,daily wage labourer,1
P-0057,Kavitha Gowda,Kappa,F,1983-03-21,35-44,"123, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,street vendor,1
P-0058,Kiran Rao,,M,1981-02-03,45+,"170, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,shop assistant,1
P-0059,Girish Desai,,M,1980-05-13,45+,"47, Colony, Aland",Aland,Kalaburagi,Aland,lower-middle,unemployed,1
P-0060,Shivakumar Shetty,Sappa,M,1979-09-27,45+,"82, Extension, Hebbal",Hebbal,Bengaluru North,Hebbal,lower-middle,shop assistant,1
P-0061,Nandini Swamy,,M,1977-04-17,45+,"75, Layout, Peenya",Peenya,Bengaluru North,Peenya,middle,farm labourer,1
P-0062,Mahesh Reddy,,M,1996-10-10,25-34,"48, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,middle,auto driver,1
P-0063,Girish Prasad,,M,1997-05-03,25-34,"70, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,daily wage labourer,1
P-0064,Kiran Murthy,,M,1991-07-11,35-44,"51, Colony, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,daily wage labourer,1
P-0065,Kavitha Naik,,M,1995-12-18,25-34,"42, Extension, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,auto driver,1
P-0066,Pooja Murthy,Panna,M,1998-01-12,25-34,"113, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,delivery rider,1
P-0067,Manjunath Prasad,Mappa,M,1990-04-20,35-44,"69, Layout, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,unemployed,1
P-0068,Deepa Patil,,F,2002-05-23,18-24,"23, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,shop assistant,1
P-0069,Nagaraj Pujari,,F,1989-10-27,35-44,"171, Extension, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,construction worker,1
P-0070,Ravi Patil,Ranna,M,2003-03-26,18-24,"143, Main Road, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,construction worker,1
P-0071,Kavitha Hegde,,F,2004-02-26,18-24,"6, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,shop assistant,1
P-0072,Nandini Murthy,,M,1996-09-22,25-34,"44, Colony, Aland",Aland,Kalaburagi,Aland,middle,auto driver,1
P-0073,Yusuf Reddy,Yanna,M,1990-03-15,35-44,"106, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,construction worker,1
P-0074,Anand Achar,,M,2000-01-08,25-34,"148, Extension, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,construction worker,1
P-0075,Girish Achar,,F,1992-06-18,25-34,"73, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,delivery rider,1
P-0076,Harish Kumar,,M,2001-08-19,25-34,"118, Main Road, Chittapur",Chittapur,Kalaburagi,Chittapur,low,unemployed,1
P-0077,Shivakumar Rao,,F,2004-01-17,18-24,"53, Extension, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,private security guard,1
P-0078,Roopa Prasad,,M,1975-01-01,45+,"60, Colony, Aland",Aland,Kalaburagi,Aland,lower-middle,auto driver,1
P-0079,Rakesh Murthy,Rappa,M,1998-06-24,25-34,"91, Main Road, Aland",Aland,Kalaburagi,Aland,middle,farm labourer,1
P-0080,Mahesh Kumar,,M,1978-12-23,45+,"84, Extension, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,construction worker,1
P-0081,Lokesh Hegde,Lu,M,1982-06-19,35-44,"166, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,shop assistant,1
P-0082,Roopa Kamath,,M,1986-11-21,35-44,"174, Layout, Hunsur",Hunsur,Mysuru,Hunsur,low,unemployed,1
P-0083,Yusuf Gowda,,M,1982-03-24,35-44,"27, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,shop assistant,1
P-0084,Bhavya Jadhav,,M,1980-12-05,45+,"166, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,construction worker,1
P-0085,Vidya Shetty,,M,1999-09-28,25-34,"145, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,unemployed,1
P-0086,Ramesh Gowda,Ranna,M,1983-04-28,35-44,"152, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,unemployed,1
P-0087,Basavaraj Pujari,,M,1981-07-17,45+,"169, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,1
P-0088,Kavitha Rao,,F,1994-08-13,25-34,"27, Extension, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,delivery rider,1
P-0089,Chetan Reddy,Canna,M,1978-12-16,45+,"142, Main Road, Peenya",Peenya,Bengaluru North,Peenya,low,delivery rider,1
P-0090,Deepa Shetty,Danna,F,1996-07-14,25-34,"132, Extension, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,mechanic,1
P-0091,Chetan Kamath,,F,2002-07-14,18-24,"156, Extension, Aland",Aland,Kalaburagi,Aland,lower-middle,daily wage labourer,0
P-0092,Savitha Kamath,,F,1999-11-23,25-34,"83, Colony, Chittapur",Chittapur,Kalaburagi,Chittapur,low,construction worker,0
P-0093,Imran Reddy,,M,1986-11-10,35-44,"120, Layout, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,auto driver,0
P-0094,Chetan Bhat,,M,1981-11-07,45+,"146, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,unemployed,0
P-0095,Ramesh Shetty,,M,1991-03-19,35-44,"108, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,delivery rider,0
P-0096,Nagaraj Gowda,,F,1978-10-13,45+,"161, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,middle,delivery rider,0
P-0097,Deepa Reddy,,M,1984-02-11,35-44,"11, Extension, Chittapur",Chittapur,Kalaburagi,Chittapur,lower-middle,private security guard,0
P-0098,Deepa Bhat,,M,1996-07-04,25-34,"146, Extension, Aland",Aland,Kalaburagi,Aland,low,mechanic,0
P-0099,Chetan Pujari,,M,1986-10-05,35-44,"118, Layout, Aland",Aland,Kalaburagi,Aland,middle,street vendor,0
P-0100,Lokesh Swamy,,M,1977-08-18,45+,"152, Layout, Peenya",Peenya,Bengaluru North,Peenya,middle,shop assistant,0
P-0101,Mahesh Jadhav,,F,2002-11-24,18-24,"82, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,construction worker,0
P-0102,Roopa Rao,,F,1995-12-14,25-34,"160, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,mechanic,0
P-0103,Santhosh Bhat,,F,1979-05-04,45+,"52, Colony, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,shop assistant,0
P-0104,Vinay Kulkarni,,F,1979-08-24,45+,"106, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,delivery rider,0
P-0105,Suresh Achar,,M,1992-09-02,25-34,"32, Colony, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,farm labourer,0
P-0106,Naveen Achar,,M,2001-05-07,25-34,"110, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,low,daily wage labourer,0
P-0107,Nagaraj Naik,,M,2004-11-06,18-24,"31, Cross Road, Hunsur",Hunsur,Mysuru,Hunsur,middle,auto driver,0
P-0108,Ramesh Prasad,,M,2004-07-27,18-24,"121, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,construction worker,0
P-0109,Naveen Murthy,,M,2002-03-27,18-24,"176, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,low,farm labourer,0
P-0110,Mahesh Kumar,,M,2004-04-20,18-24,"73, Colony, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,delivery rider,0
P-0111,Ramesh Bhat,,M,1982-12-03,35-44,"31, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,lower-middle,daily wage labourer,0
P-0112,Shivakumar Achar,,M,1989-03-07,35-44,"159, Cross Road, Aland",Aland,Kalaburagi,Aland,lower-middle,delivery rider,0
P-0113,Nagaraj Gowda,,M,1978-02-25,45+,"100, Colony, Aland",Aland,Kalaburagi,Aland,middle,mechanic,0
P-0114,Kiran Prasad,,M,1991-11-26,35-44,"74, Cross Road, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,daily wage labourer,0
P-0115,Prakash Achar,,F,1984-08-15,35-44,"151, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,0
P-0116,Basavaraj Kulkarni,,M,1976-01-12,45+,"138, Main Road, Aland",Aland,Kalaburagi,Aland,low,delivery rider,0
P-0117,Shivakumar Desai,,M,1986-02-28,35-44,"20, Extension, Hunsur",Hunsur,Mysuru,Hunsur,middle,unemployed,0
P-0118,Ravi Hegde,,M,1987-12-08,35-44,"130, Main Road, Peenya",Peenya,Bengaluru North,Peenya,middle,street vendor,0
P-0119,Anand Patil,,M,1988-06-28,35-44,"69, Cross Road, Aland",Aland,Kalaburagi,Aland,low,shop assistant,0
P-0120,Roopa Jadhav,,M,1983-03-08,35-44,"71, Extension, Hunsur",Hunsur,Mysuru,Hunsur,low,unemployed,0
P-0121,Nagaraj Murthy,,F,1981-08-16,45+,"135, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,mechanic,0
P-0122,Savitha Shetty,,M,1994-08-24,25-34,"106, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,daily wage labourer,0
P-0123,Umesh Gowda,,M,1985-01-21,35-44,"72, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,delivery rider,0
P-0124,Umesh Reddy,,M,1994-08-28,25-34,"86, Layout, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,mechanic,0
P-0125,Kiran Shetty,,M,2005-02-12,18-24,"125, Layout, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,mechanic,0
P-0126,Ananya Rao,,M,2002-10-26,18-24,"176, Cross Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,middle,street vendor,0
P-0127,Shivakumar Gowda,,M,2002-06-16,18-24,"48, Main Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,construction worker,0
P-0128,Kiran Kumar,,M,1982-10-04,35-44,"38, Cross Road, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,street vendor,0
P-0129,Shivakumar Shetty,,F,1994-05-22,25-34,"154, Main Road, Hebbal",Hebbal,Bengaluru North,Hebbal,middle,delivery rider,0
P-0130,Shwetha Swamy,,M,1995-05-08,25-34,"166, Colony, Hunsur",Hunsur,Mysuru,Hunsur,low,auto driver,0
P-0131,Rakesh Naik,,M,1979-05-25,45+,"21, Colony, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,delivery rider,0
P-0132,Vinay Achar,,F,1980-09-03,45+,"7, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,street vendor,0
P-0133,Chetan Gowda,,M,1979-01-23,45+,"100, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,farm labourer,0
P-0134,Kiran Shetty,,M,1982-04-18,35-44,"147, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,farm labourer,0
P-0135,Manjunath Jadhav,,M,1975-05-18,45+,"59, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,private security guard,0
P-0136,Naveen Kamath,,M,1982-10-14,35-44,"28, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,construction worker,0
P-0137,Kavitha Shetty,,M,1996-07-15,25-34,"19, Layout, Aland",Aland,Kalaburagi,Aland,middle,street vendor,0
P-0138,Roopa Shetty,,F,2000-02-11,25-34,"161, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,street vendor,0
P-0139,Chetan Naik,,M,1975-11-22,45+,"51, Main Road, Aland",Aland,Kalaburagi,Aland,low,street vendor,0
P-0140,Farhan Shetty,,F,2000-08-21,25-34,"179, Main Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,delivery rider,0
P-0141,Santhosh Kamath,,M,1980-09-15,45+,"47, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,low,daily wage labourer,0
P-0142,Harish Shetty,,M,1995-11-07,25-34,"31, Cross Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,unemployed,0
P-0143,Suresh Prasad,,M,1982-01-25,35-44,"111, Cross Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,unemployed,0
P-0144,Rakesh Gowda,,F,1988-07-13,35-44,"152, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,unemployed,0
P-0145,Ravi Naik,,M,2004-05-05,18-24,"142, Layout, Peenya",Peenya,Bengaluru North,Peenya,low,mechanic,0
P-0146,Roopa Kumar,,M,1998-10-26,25-34,"131, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,farm labourer,0
P-0147,Girish Jadhav,,M,1983-09-24,35-44,"61, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,delivery rider,0
P-0148,Anand Shetty,,M,2000-06-28,25-34,"131, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,shop assistant,0
P-0149,Roopa Hegde,,M,1988-02-09,35-44,"48, Colony, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,low,mechanic,0
P-0150,Shwetha Desai,,M,1992-09-23,25-34,"138, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,auto driver,0
P-0151,Suresh Prasad,,M,1987-09-22,35-44,"100, Layout, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,shop assistant,0
P-0152,Chetan Hegde,,M,1988-12-01,35-44,"177, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,shop assistant,0
P-0153,Lakshmi Kumar,,M,1987-03-19,35-44,"85, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,lower-middle,mechanic,0
P-0154,Naveen Murthy,,M,1980-12-20,45+,"90, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,daily wage labourer,0
P-0155,Naveen Prasad,,F,1987-12-15,35-44,"135, Cross Road, Peenya",Peenya,Bengaluru North,Peenya,middle,daily wage labourer,0
P-0156,Umesh Murthy,,M,2001-09-11,25-34,"81, Colony, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,street vendor,0
P-0157,Vinay Patil,,M,1987-03-22,35-44,"140, Layout, Peenya",Peenya,Bengaluru North,Peenya,lower-middle,street vendor,0
P-0158,Manjunath Desai,,F,1994-11-22,25-34,"15, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,mechanic,0
P-0159,Ananya Jadhav,,M,1980-11-07,45+,"36, Main Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,middle,shop assistant,0
P-0160,Lakshmi Shetty,,M,1996-06-01,25-34,"29, Layout, Aland",Aland,Kalaburagi,Aland,lower-middle,private security guard,0
P-0161,Pooja Hegde,,M,1987-12-06,35-44,"3, Extension, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,farm labourer,0
P-0162,Roopa Kamath,,F,1997-08-06,25-34,"117, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,daily wage labourer,0
P-0163,Suresh Patil,,M,1991-05-27,35-44,"156, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,private security guard,0
P-0164,Ravi Kumar,,M,1997-09-09,25-34,"81, Extension, Hebbal",Hebbal,Bengaluru North,Hebbal,lower-middle,delivery rider,0
P-0165,Lakshmi Gowda,,M,2001-10-02,25-34,"37, Main Road, Hunsur",Hunsur,Mysuru,Hunsur,middle,delivery rider,0
P-0166,Prakash Achar,,M,1997-02-26,25-34,"133, Extension, Nanjangud",Nanjangud,Mysuru,Nanjangud,lower-middle,daily wage labourer,0
P-0167,Farhan Kulkarni,,M,1977-04-06,45+,"101, Layout, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,construction worker,0
P-0168,Pooja Shetty,,F,2002-02-20,18-24,"123, Cross Road, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,farm labourer,0
P-0169,Deepa Kamath,,F,1989-03-09,35-44,"166, Colony, Chittapur",Chittapur,Kalaburagi,Chittapur,middle,auto driver,0
P-0170,Deepa Kumar,,M,1992-04-20,25-34,"50, Layout, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,farm labourer,0
P-0171,Vinay Hegde,,M,1995-01-10,25-34,"78, Main Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,middle,farm labourer,0
P-0172,Vidya Reddy,,M,1998-02-27,25-34,"104, Extension, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,0
P-0173,Nandini Naik,,M,1976-04-03,45+,"170, Extension, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,farm labourer,0
P-0174,Basavaraj Jadhav,,M,1978-11-08,45+,"117, Cross Road, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,middle,delivery rider,0
P-0175,Imran Jadhav,,M,1979-09-13,45+,"157, Colony, Krishnaraja",Krishnaraja,Mysuru,Krishnaraja,low,auto driver,0
P-0176,Ravi Rao,,M,2003-10-17,18-24,"65, Layout, Hunsur",Hunsur,Mysuru,Hunsur,low,shop assistant,0
P-0177,Harish Rao,,F,1985-11-21,35-44,"160, Cross Road, Kalaburagi City",Kalaburagi City,Kalaburagi,Kalaburagi City,lower-middle,shop assistant,0
P-0178,Manjunath Rao,,M,1996-11-07,25-34,"16, Layout, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,farm labourer,0
P-0179,Basavaraj Rao,,M,1986-06-02,35-44,"50, Layout, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,shop assistant,0
P-0180,Vinay Achar,,M,1983-09-07,35-44,"3, Cross Road, RT Nagar",RT Nagar,Bengaluru North,RT Nagar,lower-middle,auto driver,0
P-0181,Umesh Gowda,,M,1992-08-19,25-34,"110, Extension, Hunsur",Hunsur,Mysuru,Hunsur,lower-middle,private security guard,0
P-0182,Girish Reddy,,M,2004-06-13,18-24,"104, Colony, Yelahanka",Yelahanka,Bengaluru North,Yelahanka,low,mechanic,0
P-0183,Lakshmi Bhat,,M,1993-08-25,25-34,"79, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,low,construction worker,0
P-0184,Shwetha Kulkarni,,M,1983-03-25,35-44,"35, Main Road, Nanjangud",Nanjangud,Mysuru,Nanjangud,middle,farm labourer,0
P-0185,Chetan Prasad,,M,1997-10-17,25-34,"48, Cross Road, Hebbal",Hebbal,Bengaluru North,Hebbal,lower-middle,mechanic,0
