AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
63,49,Manjunath Achar,26,2,A1
64,50,Ramesh Pujari,24,1,A1
65,50,Lokesh Shetty,47,1,A2
66,51,Shwetha Achar,47,2,A1
67,51,Lokesh Shetty,47,1,A2
68,52,Lokesh Desai,49,1,A1
69,55,Savitha Murthy,45,2,A1
70,56,Savitha Murthy,45,2,A1
71,56,Ramesh Pujari,24,1,A2
72,58,Ananya Desai,39,2,A1
73,58,Deepa Prasad,28,1,A2
74,60,Shwetha Desai,44,1,A1
75,60,Savitha Murthy,45,2,A2
76,61,Basavaraj Gowda,35,2,A1
77,63,Ananya Desai,39,2,A1
78,63,Anand Bhat,33,2,A2
79,64,Yusuf Murthy,25,1,A1
80,64,Pooja Shetty,38,2,A2
81,66,Imran Shetty,43,1,A1
82,67,Shivakumar Gowda,27,1,A1
83,68,Bhavya Reddy,41,2,A1
84,69,Ramesh Reddy,43,2,A1
85,69,Umesh Shetty,21,1,A2
86,70,Shivakumar Desai,30,1,A1
87,70,Kiran Achar,33,1,A2
88,71,Naveen Hegde,27,2,A1
89,72,Basavaraj Gowda,35,2,A1
90,72,Santhosh Pujari,45,1,A2
91,73,Shivakumar Desai,30,1,A1
92,74,Ramesh Hegde,39,1,A1
93,74,Naveen Prasad,37,1,A2
94,75,Girish Patil,45,1,A1
95,75,Shivakumar Desai,30,1,A2
96,76,Mahesh Prasad,48,1,A1
97,76,Manjunath Pujari,37,1,A2
98,77,Ananya Desai,39,2,A1
99,78,Ananya Desai,39,2,A1
100,80,Nagaraj Reddy,37,1,A1
101,81,Yusuf Shetty,45,1,A1
102,81,Shwetha Desai,44,1,A2
103,81,Vidya Swamy,46,1,A3
104,82,Suresh Shetty,29,1,A1
105,83,Shwetha Achar,47,2,A1
106,83,Naveen Prasad,37,1,A2
107,84,Ananya Desai,39,2,A1
108,84,Ramesh Hegde,39,1,A2
109,85,Kiran Gowda,31,1,A1
110,86,Naveen Prasad,37,1,A1
111,86,Manjunath Pujari,37,1,A2
112,88,Lokesh Desai,49,1,A1
113,88,Yusuf Murthy,25,1,A2
114,90,Anand Bhat,33,2,A1
115,90,Vinay Kumar,28,1,A2
116,91,Ramesh Hegde,39,1,A1
117,91,Ananya Desai,39,2,A2
118,92,Yusuf Reddy,48,2,A1
119,93,Lokesh Shetty,47,1,A1
120,95,Naveen Achar,36,1,A1
121,96,Girish Patil,45,1,A1
122,96,Nagaraj Pujari,30,1,A2
123,97,Chetan Reddy,51,2,A1
124,97,Ramesh Patil,30,1,A2
125,100,Girish Patil,45,1,A1
126,101,Anand Gowda,31,1,A1
127,101,Girish Jadhav,36,1,A2
128,104,Anand Bhat,33,2,A1
129,104,Shwetha Achar,47,2,A2
130,105,Girish Reddy,45,1,A1
131,106,Ananya Desai,39,2,A1
132,106,Ramesh Hegde,39,1,A2
133,107,Girish Jadhav,36,1,A1
134,107,Roopa Hegde,35,2,A2
135,109,Naveen Hegde,27,2,A1
136,109,Vinay Reddy,22,1,A2
137,110,Yusuf Kamath,46,1,A1
138,111,Imran Shetty,43,1,A1
139,112,Yusuf Prasad,24,1,A1
140,112,Kiran Murthy,43,1,A2
141,114,Yusuf Murthy,25,1,A1
142,116,Yusuf Reddy,48,2,A1
143,121,Kiran Gowda,31,1,A1
144,122,Mahesh Kulkarni,47,2,A1
145,122,Shivakumar Desai,30,1,A2
146,124,Savitha Jadhav,32,1,A1
147,124,Ramesh Shetty,37,1,A2
148,125,Yusuf Shetty,45,1,A1
149,125,Ramesh Pujari,24,1,A2
150,126,Shivakumar Gowda,27,1,A1
151,127,Shwetha Desai,44,1,A1
152,127,Ramesh Pujari,24,1,A2
153,129,Ramesh Reddy,43,2,A1
154,129,Naveen Hegde,27,2,A2
155,130,Bhavya Kamath,26,1,A1
156,131,Naveen Hegde,27,2,A1
157,131,Girish Reddy,45,1,A2
158,132,Pooja Shetty,38,2,A1
159,134,Nagaraj Murthy,47,1,A1
160,134,Mahesh Kulkarni,42,1,A2
161,136,Yusuf Murthy,25,1,A1
162,136,Farhan Murthy,22,1,A2
163,137,Manjunath Achar,26,2,A1
164,137,Yusuf Reddy,48,2,A2
165,138,Kiran Murthy,43,1,A1
166,139,Savitha Murthy,45,2,A1
167,139,Ananya Desai,39,2,A2
168,140,Pooja Shetty,38,2,A1
169,140,Ramesh Hegde,39,1,A2
170,141,Kiran Desai,42,1,A1
171,141,Savitha Jadhav,32,1,A2
172,142,Farhan Murthy,22,1,A1
173,142,Vinay Kumar,28,1,A2
174,144,Santhosh Kamath,41,2,A1
175,144,Naveen Achar,36,1,A2
176,145,Yusuf Prasad,24,1,A1
177,145,Yusuf Kamath,46,1,A2
178,146,Anand Jadhav,41,2,A1
179,146,Ananya Swamy,49,1,A2
180,146,Chetan Reddy,38,1,A3
181,147,Shivakumar Gowda,27,1,A1
182,149,Savitha Murthy,45,2,A1
183,149,Ramesh Hegde,39,1,A2
184,149,Anand Bhat,33,2,A3
185,151,Shwetha Achar,47,2,A1
186,152,Imran Reddy,42,1,A1
187,153,Roopa Hegde,35,2,A1
188,154,Chetan Kumar,23,1,A1
189,155,Harish Patil,22,2,A1
190,156,Chetan Kumar,23,1,A1
191,156,Kiran Murthy,43,1,A2
192,157,Imran Patil,28,1,A1
193,158,Kiran Desai,42,1,A1
194,158,Ramesh Desai,26,2,A2
195,160,Anand Bhat,33,2,A1
196,160,Savitha Murthy,45,2,A2
197,160,Naveen Prasad,37,1,A3
198,161,Ramesh Desai,26,2,A1
199,161,Yusuf Prasad,24,1,A2
200,162,Shwetha Desai,44,1,A1
201,164,Anand Jadhav,41,2,A1
202,164,Kiran Gowda,31,1,A2
203,164,Ananya Swamy,49,1,A3
204,166,Ramesh Patil,30,1,A1
205,167,Pooja Shetty,38,2,A1
206,168,Basavaraj Gowda,35,2,A1
207,171,Chetan Reddy,51,2,A1
208,171,Shivakumar Desai,30,1,A2
209,172,Yusuf Kamath,46,1,A1
210,173,Shwetha Achar,47,2,A1
211,173,Ramesh Hegde,39,1,A2
212,173,Anand Bhat,33,2,A3
213,174,Vidya Swamy,46,1,A1
214,174,Shwetha Desai,44,1,A2
215,174,Ramesh Rao,34,1,A3
216,175,Naveen Prasad,37,1,A1
217,177,Shwetha Achar,47,2,A1
218,177,Savitha Murthy,45,2,A2
219,180,Ananya Swamy,49,1,A1
220,180,Chetan Reddy,38,1,A2
221,180,Anand Jadhav,41,2,A3
222,182,Anand Bhat,33,2,A1
223,182,Ananya Desai,39,2,A2
224,184,Lokesh Kumar,36,1,A1
225,184,Farhan Murthy,22,1,A2
226,185,Anand Bhat,33,2,A1
227,185,Shwetha Prasad,25,1,A2
228,187,Yusuf Murthy,25,1,A1
229,187,Lokesh Desai,49,1,A2
230,188,Vinay Kumar,28,1,A1
231,192,Deepa Desai,51,1,A1
232,192,Nagaraj Pujari,30,1,A2
233,193,Chetan Kamath,45,2,A1
234,193,Ramesh Pujari,24,1,A2
235,197,Pooja Achar,33,2,A1
236,200,Ramesh Reddy,43,2,A1
237,200,Ramesh Shetty,32,1,A2
238,201,Anand Gowda,31,1,A1
239,201,Naveen Achar,36,1,A2
240,208,Anand Bhat,33,2,A1
241,208,Savitha Murthy,45,2,A2
242,208,Ramesh Hegde,39,1,A3
243,209,Kiran Murthy,35,1,A1
244,210,Ramesh Hegde,39,1,A1
245,210,Pooja Shetty,38,2,A2
246,211,Chetan Kamath,45,2,A1
247,212,Ravi Gowda,42,1,A1
248,212,Deepa Prasad,28,1,A2
249,213,Bhavya Kamath,26,1,A1
250,213,Bhavya Reddy,41,2,A2
251,214,Savitha Murthy,45,2,A1
252,214,Ramesh Hegde,39,1,A2
253,216,Suresh Shetty,29,1,A1
254,216,Naveen Hegde,27,2,A2
255,217,Pooja Shetty,38,2,A1
256,219,Mahesh Kulkarni,42,1,A1
257,219,Ananya Kamath,40,1,A2
258,221,Savitha Murthy,45,2,A1
259,223,Girish Patil,45,1,A1
260,223,Mahesh Rao,41,2,A2
261,224,Harish Patil,22,2,A1
262,225,Shwetha Desai,44,1,A1
263,226,Shivakumar Desai,30,1,A1
264,228,Shwetha Achar,47,2,A1
265,229,Naveen Prasad,37,1,A1
266,229,Lokesh Desai,49,1,A2
267,230,Naveen Prasad,37,1,A1
268,230,Shwetha Achar,47,2,A2
269,232,Chetan Kamath,45,2,A1
270,233,Vinay Kumar,28,1,A1
271,233,Shwetha Achar,47,2,A2
272,234,Basavaraj Gowda,35,2,A1
273,234,Ananya Kamath,40,1,A2
274,235,Umesh Pujari,42,2,A1
275,236,Pooja Shetty,38,2,A1
276,236,Pooja Achar,33,2,A2
277,237,Savitha Murthy,45,2,A1
278,237,Ramesh Hegde,39,1,A2
279,237,Shwetha Achar,47,2,A3
280,238,Chetan Murthy,46,1,A1
281,241,Manjunath Achar,26,2,A1
282,242,Mahesh Prasad,48,1,A1
283,242,Ananya Desai,39,2,A2
284,243,Imran Shetty,43,1,A1
285,243,Manjunath Achar,26,2,A2
286,244,Roopa Naik,36,1,A1
287,244,Yusuf Prasad,24,1,A2
288,245,Lokesh Desai,49,1,A1
289,245,Pooja Shetty,38,2,A2
290,246,Anand Bhat,33,2,A1
291,246,Ramesh Hegde,39,1,A2
292,248,Yusuf Prasad,24,1,A1
293,249,Ananya Desai,39,2,A1
294,249,Harish Patil,22,2,A2
295,250,Girish Patil,45,1,A1
296,252,Deepa Prasad,28,1,A1
297,252,Naveen Prasad,37,1,A2
298,253,Nagaraj Murthy,47,1,A1
299,254,Manjunath Pujari,37,1,A1
300,254,Farhan Murthy,22,1,A2
301,255,Shivakumar Desai,30,1,A1
302,257,Mahesh Prasad,48,1,A1
303,258,Umesh Shetty,21,1,A1
304,260,Yusuf Kamath,46,1,A1
305,262,Nagaraj Reddy,37,1,A1
306,262,Kiran Desai,42,1,A2
307,264,Lokesh Shetty,47,1,A1
308,265,Lokesh Pujari,34,1,A1
309,265,Santhosh Pujari,45,1,A2
310,267,Bhavya Reddy,41,2,A1
311,270,Kiran Gowda,31,1,A1
312,273,Ananya Kamath,40,1,A1
313,277,Bhavya Kamath,26,1,A1
314,278,Ramesh Hegde,39,1,A1
315,278,Naveen Prasad,37,1,A2
316,279,Vidya Swamy,46,1,A1
317,279,Mahesh Prasad,48,1,A2
318,280,Rakesh Rao,50,1,A1
319,282,Bhavya Kamath,26,1,A1
320,282,Kiran Murthy,35,1,A2
321,283,Santhosh Kamath,41,2,A1
322,283,Kiran Gowda,31,1,A2
323,284,Ananya Desai,39,2,A1
324,284,Ramesh Hegde,39,1,A2
325,284,Naveen Prasad,37,1,A3
326,285,Ramesh Hegde,39,1,A1
327,285,Vinay Kumar,28,1,A2
328,286,Bhavya Naik,25,2,A1
329,287,Yusuf Murthy,25,1,A1
330,287,Vinay Kumar,28,1,A2
331,289,Ramesh Pujari,24,1,A1
332,289,Manjunath Pujari,37,1,A2
333,290,Shwetha Kamath,32,1,A1
334,291,Ramesh Pujari,24,1,A1
335,292,Harish Patil,22,2,A1
336,292,Vidya Swamy,46,1,A2
337,294,Yusuf Reddy,48,2,A1
338,294,Pooja Shetty,38,2,A2
339,295,Anand Gowda,31,1,A1
340,295,Chetan Murthy,46,1,A2
341,296,Mahesh Prasad,48,1,A1
342,297,Ananya Desai,39,2,A1
343,297,Savitha Murthy,45,2,A2
344,298,Shwetha Achar,47,2,A1
345,298,Savitha Murthy,45,2,A2
346,298,Naveen Prasad,37,1,A3
347,300,Mahesh Kulkarni,42,1,A1
