ComplainantID,CaseMasterID,ComplainantName,AgeYear,OccupationID,GenderID
82,82,Savitha Patil,31,6,1
83,83,Shwetha Kulkarni,22,7,2
84,84,Ananya Kulkarni,25,9,2
85,85,Girish Swamy,23,9,1
86,86,Prakash Bhat,35,2,1
87,87,Vinay Swamy,51,5,1
88,88,Yusuf Swamy,40,7,1
89,89,Kiran Naik,27,8,2
90,90,Nandini Achar,24,1,1
91,91,Anand Swamy,49,5,1
92,92,Naveen Gowda,43,8,1
93,93,Prakash Murthy,41,1,1
94,94,Kiran Naik,27,8,2
95,95,Farhan Pujari,26,1,2
96,96,Umesh Achar,46,1,1
97,97,Farhan Desai,46,5,1
98,98,Nandini Desai,45,1,1
99,99,Savitha Hegde,26,10,1
100,100,Mahesh Achar,47,7,2
101,101,Vinay Swamy,49,4,1
102,102,Prakash Bhat,39,8,1
103,103,Farhan Desai,25,10,1
104,104,Girish Swamy,21,1,1
105,105,Deepa Prasad,44,8,1
106,106,Imran Kulkarni,38,1,1
107,107,Basavaraj Rao,21,6,2
108,108,Girish Achar,23,6,1
109,109,Girish Patil,22,10,1
110,110,Harish Bhat,25,9,1
111,111,Kavitha Jadhav,25,1,1
112,112,Prakash Patil,23,2,1
113,113,Pooja Naik,26,1,2
114,114,Suresh Gowda,25,8,2
115,115,Basavaraj Rao,21,6,2
116,116,Ananya Prasad,45,5,1
117,117,Prakash Kulkarni,39,6,1
118,118,Yusuf Hegde,46,7,1
119,119,Nandini Achar,24,1,1
120,120,Naveen Gowda,43,8,1
121,121,Bhavya Kumar,31,3,2
122,122,Kiran Naik,37,2,1
123,123,Bhavya Desai,45,3,1
124,124,Kiran Rao,45,3,1
125,125,Deepa Pujari,25,5,1
126,126,Harish Bhat,25,9,1
127,127,Mahesh Desai,32,2,1
128,128,Vinay Swamy,51,5,1
129,129,Vinay Prasad,48,1,2
130,130,Ananya Desai,40,4,1
131,131,Chetan Murthy,42,3,2
132,132,Roopa Swamy,34,2,2
133,133,Ananya Kulkarni,25,9,2
134,134,Farhan Rao,46,4,1
135,135,Imran Rao,34,8,1
136,136,Savitha Hegde,31,5,1
137,137,Pooja Desai,45,9,1
138,138,Harish Bhat,25,9,1
139,139,Mahesh Shetty,23,9,1
140,140,Prakash Swamy,45,2,1
141,141,Basavaraj Patil,32,9,1
142,142,Shwetha Gowda,24,3,1
143,143,Ravi Kamath,38,8,1
144,144,Girish Desai,46,5,1
145,145,Prakash Swamy,47,6,1
146,146,Kavitha Gowda,25,7,1
147,147,Pooja Swamy,48,5,1
148,148,Kiran Shetty,44,1,1
149,149,Deepa Pujari,25,5,1
150,150,Nagaraj Desai,50,6,1
151,151,Nandini Desai,45,1,1
152,152,Kavitha Pujari,35,2,2
153,153,Rakesh Swamy,46,10,1
154,154,Basavaraj Jadhav,29,7,1
155,155,Suresh Gowda,25,8,2
156,156,Kavitha Swamy,47,9,1
157,157,Girish Achar,23,6,1
158,158,Nandini Murthy,25,7,1
159,159,Roopa Kumar,48,6,1
160,160,Ananya Achar,24,8,2
161,161,Ravi Murthy,45,6,2
162,162,Farhan Swamy,44,3,1
163,163,Lokesh Shetty,50,7,1
164,164,Girish Swamy,23,9,1
165,165,Pooja Kulkarni,38,10,1
166,166,Nandini Hegde,44,8,1
167,167,Anand Prasad,44,8,1
168,168,Pooja Desai,36,6,1
169,169,Kiran Pujari,45,1,2
170,170,Nandini Desai,45,1,1
171,171,Roopa Kamath,46,6,1
172,172,Basavaraj Jadhav,29,7,1
173,173,Prakash Desai,40,8,1
174,174,Kiran Pujari,45,1,2
175,175,Ramesh Achar,27,6,1
176,176,Bhavya Desai,45,3,1
177,177,Imran Shetty,32,10,1
178,178,Lakshmi Reddy,42,6,1
179,179,Rakesh Bhat,35,4,1
180,180,Chetan Murthy,42,3,2
181,181,Harish Bhat,28,4,1
182,182,Shivakumar Reddy,37,9,1
183,183,Shivakumar Hegde,39,7,1
184,184,Prakash Bhat,35,2,1
185,185,Kavitha Jadhav,25,1,1
186,186,Savitha Hegde,31,5,1
187,187,Lokesh Swamy,44,6,2
188,188,Prakash Murthy,41,1,1
189,189,Rakesh Achar,30,10,2
190,190,Bhavya Desai,45,3,1
191,191,Basavaraj Hegde,45,3,1
192,192,Mahesh Reddy,34,9,2
193,193,Ramesh Bhat,31,6,1
194,194,Ramesh Achar,27,6,1
195,195,Suresh Rao,36,8,1
196,196,Naveen Rao,21,4,1
197,197,Mahesh Shetty,23,9,1
198,198,Roopa Kamath,46,6,1
199,199,Girish Swamy,21,1,1
200,200,Anand Naik,48,6,2
201,201,Vinay Prasad,48,1,2
202,202,Yusuf Reddy,28,7,1
203,203,Chetan Rao,25,9,1
204,204,Shivakumar Hegde,39,7,1
205,205,Mahesh Shetty,23,9,1
206,206,Anand Bhat,35,8,1
207,207,Vinay Patil,30,5,1
208,208,Nandini Achar,24,1,1
209,209,Chetan Bhat,51,6,1
210,210,Lokesh Murthy,26,8,2
211,211,Pooja Jadhav,47,2,1
212,212,Kiran Pujari,45,1,2
213,213,Harish Achar,42,3,1
214,214,Anand Desai,40,7,1
215,215,Basavaraj Hegde,45,3,1
216,216,Imran Patil,22,10,2
217,217,Kiran Naik,27,8,2
218,218,Ananya Rao,27,5,2
219,219,Girish Reddy,22,1,1
220,220,Ananya Rao,27,5,2
221,221,Savitha Desai,42,6,1
222,222,Naveen Gowda,43,8,1
223,223,Bhavya Hegde,26,4,1
224,224,Harish Kulkarni,46,6,1
225,225,Shwetha Kulkarni,22,7,2
226,226,Ramesh Kulkarni,49,2,2
227,227,Pooja Kulkarni,38,10,1
228,228,Deepa Pujari,25,5,1
229,229,Santhosh Patil,21,10,1
230,230,Nagaraj Murthy,42,6,2
231,231,Shwetha Reddy,48,9,1
232,232,Imran Kulkarni,30,3,1
233,233,Naveen Bhat,23,3,2
234,234,Lakshmi Reddy,42,6,1
235,235,Santhosh Bhat,32,2,1
236,236,Farhan Desai,25,10,1
237,237,Ananya Achar,24,8,2
238,238,Vidya Jadhav,38,2,1
239,239,Naveen Gowda,43,8,1
240,240,Kiran Shetty,44,1,1
241,241,Prakash Kamath,31,9,1
242,242,Prakash Murthy,41,1,1
243,243,Naveen Gowda,43,8,1
244,244,Suresh Reddy,32,7,1
245,245,Imran Rao,34,8,1
246,246,Anand Desai,40,7,1
247,247,Umesh Gowda,33,2,2
248,248,Ravi Naik,22,2,1
249,249,Ananya Kulkarni,25,9,2
250,250,Umesh Achar,46,1,1
251,251,Anand Prasad,44,8,1
252,252,Mahesh Achar,28,1,1
253,253,Ramesh Achar,50,6,1
254,254,Ananya Kulkarni,21,8,1
255,255,Naveen Rao,21,4,1
256,256,Roopa Prasad,44,8,1
257,257,Kavitha Reddy,25,7,1
258,258,Nagaraj Murthy,27,6,1
259,259,Farhan Desai,43,7,1
260,260,Girish Gowda,46,5,1
261,261,Nagaraj Hegde,47,8,1
262,262,Kiran Naik,28,9,1
263,263,Nagaraj Desai,50,6,1
264,264,Suresh Gowda,25,8,2
265,265,Ravi Kamath,38,8,1
266,266,Lakshmi Kamath,50,7,1
267,267,Basavaraj Patil,32,9,1
268,268,Deepa Prasad,44,8,1
269,269,Naveen Gowda,43,8,1
270,270,Rakesh Swamy,46,10,1
271,271,Kavitha Pujari,35,2,2
272,272,Yusuf Swamy,40,7,1
273,273,Anand Hegde,32,10,1
274,274,Nandini Bhat,42,5,1
275,275,Roopa Swamy,34,2,2
276,276,Deepa Pujari,25,10,2
277,277,Anand Jadhav,46,1,1
278,278,Naveen Bhat,23,3,2
279,279,Anand Kamath,44,10,2
280,280,Shwetha Reddy,48,9,1
281,281,Manjunath Gowda,33,7,1
282,282,Ramesh Gowda,43,9,1
283,283,Shivakumar Naik,47,3,1
284,284,Savitha Shetty,51,10,1
285,285,Yusuf Kamath,25,2,1
286,286,Bhavya Achar,45,4,1
287,287,Harish Naik,47,8,1
288,288,Santhosh Naik,51,10,1
289,289,Harish Kulkarni,46,6,1
290,290,Kiran Naik,37,2,1
291,291,Chetan Rao,25,9,1
292,292,Vinay Patil,30,5,1
293,293,Vinay Bhat,40,7,1
294,294,Chetan Jadhav,37,3,1
295,295,Farhan Desai,46,5,1
296,296,Lokesh Murthy,26,8,2
297,297,Rakesh Patil,27,7,2
298,298,Farhan Desai,25,10,1
299,299,Roopa Kamath,46,6,1
300,300,Naveen Rao,47,5,1
