CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
11,104430005202500003,202500003,2025-06-29,12,5,1,2,2,5,1,1,2025-06-28 15:35:00,2025-06-28 18:35:00,2025-06-29 15:35:00,13.0088,77.60825,"On 2025-06-28, Suresh Rao, a resident of 90, Layout, Peenya, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
12,104300012202500001,202500001,2025-06-10,28,12,1,2,2,5,2,6,2025-06-09 11:30:00,2025-06-09 13:30:00,2025-06-10 11:30:00,17.55551,76.55778,"On 2025-06-09, Yusuf Hegde, a resident of 101, Layout, Chittapur, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of Aland Police Station in Kalaburagi district."
13,104430002202600001,202600001,2026-01-01,3,2,1,2,1,1,3,2,2026-01-01 09:23:00,2026-01-01 10:23:00,2026-01-01 09:23:00,13.09573,77.57983,"On 2026-01-01, Kavitha Jadhav, a resident of 128, Extension, Hebbal, reported that suspects on a motorcycle without a number plate snatched the chain near a bus stop. The incident occurred within the limits of Yelahanka Police Station in Bengaluru North district."
14,104430004202500001,202500001,2025-05-29,8,4,1,2,1,2,3,2,2025-05-26 19:24:00,2025-05-26 22:24:00,2025-05-29 19:24:00,13.0329,77.52935,"On 2025-05-26, Mahesh Shetty, a resident of 118, Extension, Peenya, reported that entry was gained through an unsecured rear window and the almirah was ransacked. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
15,104300013202600002,202600002,2026-04-20,32,13,1,2,1,3,2,5,2026-04-18 23:01:00,2026-04-19 00:01:00,2026-04-20 23:01:00,17.10222,77.07583,"On 2026-04-18, Pooja Swamy, a resident of 118, Cross Road, Chittapur, reported that the two-wheeler was stolen from outside a commercial complex in broad daylight. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
16,104500009202500002,202500002,2025-06-26,23,9,1,2,1,2,1,3,2025-06-25 13:32:00,2025-06-25 16:32:00,2025-06-26 13:32:00,12.28862,76.28752,"On 2025-06-25, Vidya Jadhav, a resident of 54, Extension, Hunsur, reported that the grill of the ventilator was cut and gold ornaments and cash were taken. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
17,104300013202500001,202500001,2025-09-17,32,13,1,2,1,1,3,5,2025-09-14 05:51:00,2025-09-14 07:51:00,2025-09-17 05:51:00,17.1416,77.08959,"On 2025-09-14, Savitha Hegde, a resident of 13, Cross Road, Aland, reported that pillion rider snatched the mangalsutra while the complainant was walking on the footpath. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
18,104430004202400001,202400001,2024-10-02,9,4,1,1,1,4,1,2,2024-10-02 17:54:00,2024-10-02 17:54:00,2024-10-02 17:54:00,13.05052,77.49882,"On 2024-10-02, Imran Achar, a resident of 134, Main Road, RT Nagar, reported that an armed group waylaid the complainant on a deserted stretch and robbed the collection amount. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
19,104500007202400001,202400001,2024-07-15,16,7,1,1,1,4,1,4,2024-07-15 08:47:00,2024-07-15 11:47:00,2024-07-15 08:47:00,12.32068,76.63959,"On 2024-07-15, Farhan Pujari, a resident of 154, Colony, Hunsur, reported that an armed group waylaid the complainant on a deserted stretch and robbed the collection amount. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
20,104500007202500002,202500002,2025-10-16,16,7,1,1,1,4,2,3,2025-10-16 04:23:00,2025-10-16 06:23:00,2025-10-16 04:23:00,12.29394,76.64596,"On 2025-10-16, Farhan Rao, a resident of 173, Cross Road, Hunsur, reported that the suspects threatened the complainant with a knife and took cash and a mobile phone. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
21,104430004202500002,202500002,2025-08-13,9,4,1,2,1,1,2,1,2025-08-13 22:00:00,2025-08-13 23:00:00,2025-08-13 22:00:00,13.04722,77.53163,"On 2025-08-13, Lokesh Swamy, a resident of 112, Cross Road, RT Nagar, reported that pillion rider snatched the mangalsutra while the complainant was walking on the footpath. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
22,104300013202500002,202500002,2025-07-28,31,13,1,2,1,3,3,6,2025-07-25 16:32:00,2025-07-25 19:32:00,2025-07-28 16:32:00,17.11153,77.08561,"On 2025-07-25, Anand Kulkarni, a resident of 84, Main Road, Kalaburagi City, reported that the two-wheeler was stolen from outside a commercial complex in broad daylight. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
23,104430005202600002,202600002,2026-03-15,12,5,1,1,4,7,2,1,2026-03-14 05:45:00,2026-03-14 05:45:00,2026-03-15 05:45:00,13.02622,77.59697,"On 2026-03-14, Roopa Kumar, a resident of 63, Cross Road, Hebbal, reported that the accused was found in possession of contraband during a vehicle check at a checkpost. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
24,104500009202600001,202600001,2026-06-24,22,9,1,1,1,4,3,4,2026-06-22 09:36:00,2026-06-22 11:36:00,2026-06-24 09:36:00,12.2958,76.28974,"On 2026-06-22, Basavaraj Prasad, a resident of 130, Layout, Krishnaraja, reported that an armed group waylaid the complainant on a deserted stretch and robbed the collection amount. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
25,104500009202600002,202600002,2026-03-27,23,9,1,2,1,2,3,4,2026-03-24 09:46:00,2026-03-24 09:46:00,2026-03-27 09:46:00,12.30962,76.3105,"On 2026-03-24, Ramesh Kumar, a resident of 93, Cross Road, Hunsur, reported that the lock of the main door was broken open while the house was locked and the family was away. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
26,104300013202500003,202500003,2025-08-23,31,13,1,2,2,5,3,5,2025-08-20 17:59:00,2025-08-20 19:59:00,2025-08-23 17:59:00,17.11108,77.07847,"On 2025-08-20, Rakesh Gowda, a resident of 31, Extension, Kalaburagi City, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
27,104500009202500003,202500003,2025-12-27,23,9,1,2,3,6,1,3,2025-12-24 01:17:00,2025-12-24 03:17:00,2025-12-27 01:17:00,12.32366,76.27243,"On 2025-12-24, Santhosh Swamy, a resident of 173, Main Road, Hunsur, reported that payment was collected for goods advertised online which were never delivered. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
28,104500007202500003,202500003,2025-10-06,16,7,1,2,1,1,2,3,2025-10-05 00:32:00,2025-10-05 02:32:00,2025-10-06 00:32:00,12.29847,76.63938,"On 2025-10-05, Manjunath Rao, a resident of 166, Cross Road, Nanjangud, reported that suspects on a motorcycle without a number plate snatched the chain near a bus stop. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
29,104430005202500004,202500004,2025-02-07,12,5,1,2,2,5,3,1,2025-02-04 18:51:00,2025-02-04 21:51:00,2025-02-07 18:51:00,12.99989,77.61414,"On 2025-02-04, Kavitha Jadhav, a resident of 128, Extension, Hebbal, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
30,104500009202500004,202500004,2025-10-20,23,9,1,2,2,5,1,4,2025-10-20 20:53:00,2025-10-20 22:53:00,2025-10-20 20:53:00,12.31776,76.28251,"On 2025-10-20, Shwetha Kulkarni, a resident of 170, Extension, Krishnaraja, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
31,104300012202400001,202400001,2024-12-13,28,12,1,2,1,2,3,5,2024-12-13 19:01:00,2024-12-13 19:01:00,2024-12-13 19:01:00,17.57819,76.57979,"On 2024-12-13, Ravi Kamath, a resident of 175, Extension, Aland, reported that the lock of the main door was broken open while the house was locked and the family was away. The incident occurred within the limits of Aland Police Station in Kalaburagi district."
32,104430004202500003,202500003,2025-02-05,10,4,1,1,1,4,1,1,2025-02-03 09:29:00,2025-02-03 11:29:00,2025-02-05 09:29:00,13.02525,77.5225,"On 2025-02-03, Pooja Gowda, a resident of 142, Cross Road, RT Nagar, reported that an armed group waylaid the complainant on a deserted stretch and robbed the collection amount. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
33,104430005202600003,202600003,2026-03-04,12,5,1,2,3,6,2,1,2026-03-03 10:26:00,2026-03-03 10:26:00,2026-03-04 10:26:00,13.01407,77.59229,"On 2026-03-03, Imran Shetty, a resident of 123, Extension, RT Nagar, reported that the complainant was induced to transfer money on the promise of a part-time job. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
34,104430005202500005,202500005,2025-02-24,13,5,1,2,2,5,1,1,2025-02-24 11:04:00,2025-02-24 12:04:00,2025-02-24 11:04:00,13.00811,77.60409,"On 2025-02-24, Chetan Rao, a resident of 23, Main Road, RT Nagar, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
35,104300012202600001,202600001,2026-02-13,28,12,1,2,3,6,3,5,2026-02-12 05:20:00,2026-02-12 05:20:00,2026-02-13 05:20:00,17.58261,76.58458,"On 2026-02-12, Harish Achar, a resident of 150, Extension, Kalaburagi City, reported that the suspect posed as a bank official and obtained the OTP over a phone call. The incident occurred within the limits of Aland Police Station in Kalaburagi district."
36,104430002202500002,202500002,2025-07-31,3,2,1,2,1,2,2,1,2025-07-28 14:56:00,2025-07-28 14:56:00,2025-07-31 14:56:00,13.09755,77.58868,"On 2025-07-28, Shwetha Kulkarni, a resident of 163, Main Road, RT Nagar, reported that entry was gained through an unsecured rear window and the almirah was ransacked. The incident occurred within the limits of Yelahanka Police Station in Bengaluru North district."
37,104300012202500002,202500002,2025-08-22,29,12,1,2,1,1,2,6,2025-08-20 03:39:00,2025-08-20 03:39:00,2025-08-22 03:39:00,17.57095,76.58544,"On 2025-08-20, Savitha Jadhav, a resident of 75, Layout, Kalaburagi City, reported that pillion rider snatched the mangalsutra while the complainant was walking on the footpath. The incident occurred within the limits of Aland Police Station in Kalaburagi district."
38,104500007202500004,202500004,2025-09-10,16,7,1,2,2,5,2,4,2025-09-08 08:08:00,2025-09-08 10:08:00,2025-09-10 08:08:00,12.30182,76.67672,"On 2025-09-08, Ananya Patil, a resident of 117, Main Road, Nanjangud, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
39,104430003202400002,202400002,2024-09-16,5,3,1,1,4,7,3,2,2024-09-16 10:29:00,2024-09-16 10:29:00,2024-09-16 10:29:00,13.04561,77.61383,"On 2024-09-16, Imran Shetty, a resident of 123, Extension, RT Nagar, reported that the accused was found in possession of contraband during a vehicle check at a checkpost. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
40,104300013202600003,202600003,2026-06-18,31,13,1,2,1,1,2,6,2026-06-15 23:49:00,2026-06-16 01:49:00,2026-06-18 23:49:00,17.13328,77.09997,"On 2026-06-15, Farhan Desai, a resident of 47, Cross Road, Chittapur, reported that suspects on a motorcycle without a number plate snatched the chain near a bus stop. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
41,104430003202600001,202600001,2026-03-20,6,3,1,2,1,2,2,2,2026-03-18 07:06:00,2026-03-18 09:06:00,2026-03-20 07:06:00,13.02399,77.59755,"On 2026-03-18, Kavitha Reddy, a resident of 168, Layout, RT Nagar, reported that the lock of the main door was broken open while the house was locked and the family was away. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
42,104500007202400002,202400002,2024-10-09,16,7,1,2,3,6,1,3,2024-10-06 17:35:00,2024-10-06 20:35:00,2024-10-09 17:35:00,12.29706,76.63485,"On 2024-10-06, Girish Patil, a resident of 2, Colony, Krishnaraja, reported that the complainant was induced to transfer money on the promise of a part-time job. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
43,104430003202600002,202600002,2026-04-27,5,3,1,2,1,3,2,1,2026-04-27 21:02:00,2026-04-27 21:02:00,2026-04-27 21:02:00,13.01412,77.59497,"On 2026-04-27, Manjunath Kumar, a resident of 94, Extension, Peenya, reported that the motorcycle parked outside the residence was stolen during the night. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
44,104430005202600004,202600004,2026-04-14,12,5,1,2,2,5,3,2,2026-04-14 00:10:00,2026-04-14 00:10:00,2026-04-14 00:10:00,13.0191,77.57495,"On 2026-04-14, Savitha Hegde, a resident of 43, Layout, Hebbal, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
45,104430002202500003,202500003,2025-02-03,3,2,1,2,2,5,1,2,2025-02-03 20:27:00,2025-02-03 23:27:00,2025-02-03 20:27:00,13.11048,77.57384,"On 2025-02-03, Imran Kulkarni, a resident of 103, Extension, Yelahanka, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of Yelahanka Police Station in Bengaluru North district."
46,104500009202400001,202400001,2024-07-25,23,9,1,2,1,3,3,4,2024-07-23 14:30:00,2024-07-23 17:30:00,2024-07-25 14:30:00,12.3253,76.29914,"On 2024-07-23, Rakesh Bhat, a resident of 151, Main Road, Nanjangud, reported that the vehicle was taken from an unattended parking lot after the steering lock was broken. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
47,104430005202500006,202500006,2025-05-24,13,5,1,2,1,1,2,1,2025-05-23 16:40:00,2025-05-23 16:40:00,2025-05-24 16:40:00,12.9992,77.57493,"On 2025-05-23, Ananya Achar, a resident of 121, Cross Road, Peenya, reported that pillion rider snatched the mangalsutra while the complainant was walking on the footpath. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
48,104430004202600001,202600001,2026-05-20,9,4,1,2,1,3,3,1,2026-05-17 18:25:00,2026-05-17 21:25:00,2026-05-20 18:25:00,13.03942,77.50734,"On 2026-05-17, Ananya Prasad, a resident of 115, Cross Road, Peenya, reported that the two-wheeler was stolen from outside a commercial complex in broad daylight. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
49,104430003202400003,202400003,2024-09-20,5,3,1,2,3,6,3,1,2024-09-18 02:14:00,2024-09-18 03:14:00,2024-09-20 02:14:00,13.04636,77.57755,"On 2024-09-18, Ramesh Bhat, a resident of 120, Layout, RT Nagar, reported that payment was collected for goods advertised online which were never delivered. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
50,104430004202500004,202500004,2025-07-08,10,4,1,2,1,3,1,1,2025-07-07 08:55:00,2025-07-07 09:55:00,2025-07-08 08:55:00,13.04554,77.52851,"On 2025-07-07, Farhan Swamy, a resident of 112, Main Road, Hebbal, reported that the vehicle was taken from an unattended parking lot after the steering lock was broken. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
51,104430005202500007,202500007,2025-08-28,13,5,1,2,2,5,2,1,2025-08-26 14:39:00,2025-08-26 16:39:00,2025-08-28 14:39:00,13.00945,77.60299,"On 2025-08-26, Harish Kulkarni, a resident of 1, Main Road, Peenya, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
52,104430004202500005,202500005,2025-03-06,9,4,1,2,2,5,3,1,2025-03-03 10:23:00,2025-03-03 10:23:00,2025-03-06 10:23:00,13.03171,77.53009,"On 2025-03-03, Manjunath Gowda, a resident of 141, Colony, Peenya, reported that a quarrel over a parking dispute escalated and the complainant was assaulted. The incident occurred within the limits of Peenya Police Station in Bengaluru North district."
53,104500009202600003,202600003,2026-01-30,22,9,1,2,1,2,1,3,2026-01-28 15:31:00,2026-01-28 18:31:00,2026-01-30 15:31:00,12.30001,76.30368,"On 2026-01-28, Roopa Kamath, a resident of 138, Main Road, Krishnaraja, reported that the lock of the main door was broken open while the house was locked and the family was away. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
54,104430003202500001,202500001,2025-11-28,5,3,1,2,3,6,3,1,2025-11-28 16:20:00,2025-11-28 19:20:00,2025-11-28 16:20:00,13.01873,77.61092,"On 2025-11-28, Naveen Kamath, a resident of 106, Cross Road, Peenya, reported that the complainant was induced to transfer money on the promise of a part-time job. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
55,104430005202400001,202400001,2024-11-19,13,5,1,1,4,7,2,2,2024-11-17 08:59:00,2024-11-17 11:59:00,2024-11-19 08:59:00,13.01569,77.60388,"On 2024-11-17, Savitha Hegde, a resident of 43, Layout, Hebbal, reported that the accused was found in possession of contraband during a vehicle check at a checkpost. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
56,104430005202500008,202500008,2025-05-06,13,5,1,2,2,5,2,2,2025-05-05 21:24:00,2025-05-05 23:24:00,2025-05-06 21:24:00,13.01231,77.61486,"On 2025-05-05, Naveen Bhat, a resident of 53, Extension, Peenya, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
57,104300012202600002,202600002,2026-02-12,28,12,1,2,1,1,1,5,2026-02-12 02:20:00,2026-02-12 03:20:00,2026-02-12 02:20:00,17.5582,76.54686,"On 2026-02-12, Kiran Kumar, a resident of 108, Cross Road, Kalaburagi City, reported that suspects on a motorcycle without a number plate snatched the chain near a bus stop. The incident occurred within the limits of Aland Police Station in Kalaburagi district."
58,104430005202500009,202500009,2025-12-20,13,5,1,2,1,1,2,2,2025-12-20 03:45:00,2025-12-20 05:45:00,2025-12-20 03:45:00,13.02515,77.57275,"On 2025-12-20, Anand Desai, a resident of 84, Colony, Hebbal, reported that two-wheeler borne suspects snatched the gold chain and fled towards the ring road. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
59,104500008202500001,202500001,2025-07-07,20,8,1,2,3,6,1,3,2025-07-04 13:15:00,2025-07-04 15:15:00,2025-07-07 13:15:00,12.1345,76.6952,"On 2025-07-04, Deepa Shetty, a resident of 129, Cross Road, Krishnaraja, reported that payment was collected for goods advertised online which were never delivered. The incident occurred within the limits of Nanjangud Police Station in Mysuru district."
60,104430003202500002,202500002,2025-07-15,6,3,1,2,1,3,3,2,2025-07-12 14:51:00,2025-07-12 16:51:00,2025-07-15 14:51:00,13.04031,77.60487,"On 2025-07-12, Kiran Pujari, a resident of 178, Colony, Peenya, reported that the vehicle was taken from an unattended parking lot after the steering lock was broken. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
61,104300013202600004,202600004,2026-05-25,31,13,1,2,2,5,1,5,2026-05-22 21:27:00,2026-05-22 23:27:00,2026-05-25 21:27:00,17.10278,77.06595,"On 2026-05-22, Prakash Desai, a resident of 62, Colony, Chittapur, reported that the accused caused hurt with a wooden club following a prior enmity. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
62,104500009202500005,202500005,2025-10-13,23,9,1,2,3,6,1,3,2025-10-12 20:56:00,2025-10-12 22:56:00,2025-10-13 20:56:00,12.28801,76.29833,"On 2025-10-12, Vinay Prasad, a resident of 111, Main Road, Nanjangud, reported that payment was collected for goods advertised online which were never delivered. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
63,104430003202600003,202600003,2026-04-23,5,3,1,2,1,1,2,2,2026-04-22 06:55:00,2026-04-22 07:55:00,2026-04-23 06:55:00,13.05074,77.58205,"On 2026-04-22, Suresh Gowda, a resident of 86, Main Road, Yelahanka, reported that two-wheeler borne suspects snatched the gold chain and fled towards the ring road. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
64,104430005202600005,202600005,2026-06-15,12,5,1,2,1,3,2,1,2026-06-15 16:56:00,2026-06-15 17:56:00,2026-06-15 16:56:00,12.99962,77.60954,"On 2026-06-15, Harish Naik, a resident of 54, Layout, Peenya, reported that the two-wheeler was stolen from outside a commercial complex in broad daylight. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
65,104500007202500005,202500005,2025-12-07,16,7,1,2,3,6,3,4,2025-12-04 23:34:00,2025-12-04 23:34:00,2025-12-07 23:34:00,12.31155,76.63275,"On 2025-12-04, Farhan Rao, a resident of 173, Cross Road, Hunsur, reported that the complainant was induced to transfer money on the promise of a part-time job. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
66,104430003202500003,202500003,2025-11-11,6,3,1,2,3,6,1,2,2025-11-10 03:09:00,2025-11-10 05:09:00,2025-11-11 03:09:00,13.03503,77.61257,"On 2025-11-10, Ramesh Bhat, a resident of 120, Layout, RT Nagar, reported that the complainant was induced to transfer money on the promise of a part-time job. The incident occurred within the limits of Hebbal Police Station in Bengaluru North district."
67,104300011202500001,202500001,2025-05-04,26,11,1,2,3,6,3,5,2025-05-02 07:26:00,2025-05-02 08:26:00,2025-05-04 07:26:00,17.34395,76.83973,"On 2025-05-02, Anand Kulkarni, a resident of 84, Main Road, Kalaburagi City, reported that the suspect posed as a bank official and obtained the OTP over a phone call. The incident occurred within the limits of Kalaburagi City Police Station in Kalaburagi district."
68,104300013202500004,202500004,2025-02-07,32,13,1,2,1,3,2,6,2025-02-06 08:29:00,2025-02-06 10:29:00,2025-02-07 08:29:00,17.14061,77.10034,"On 2025-02-06, Nandini Murthy, a resident of 110, Extension, Aland, reported that the motorcycle parked outside the residence was stolen during the night. The incident occurred within the limits of Chittapur Police Station in Kalaburagi district."
69,104500007202600001,202600001,2026-06-15,15,7,1,1,4,7,1,3,2026-06-13 23:03:00,2026-06-13 23:03:00,2026-06-15 23:03:00,12.30354,76.63535,"On 2026-06-13, Lakshmi Hegde, a resident of 75, Colony, Nanjangud, reported that the accused was found in possession of contraband during a vehicle check at a checkpost. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
70,104500007202600002,202600002,2026-04-14,15,7,1,1,4,7,1,4,2026-04-11 18:15:00,2026-04-11 21:15:00,2026-04-14 18:15:00,12.30421,76.66659,"On 2026-04-11, Shwetha Kulkarni, a resident of 170, Extension, Krishnaraja, reported that the accused was found in possession of contraband during a vehicle check at a checkpost. The incident occurred within the limits of Krishnaraja Police Station in Mysuru district."
71,104500008202500002,202500002,2025-08-16,20,8,1,1,1,4,2,4,2025-08-14 22:04:00,2025-08-15 00:04:00,2025-08-16 22:04:00,12.1358,76.66447,"On 2025-08-14, Vinay Bhat, a resident of 140, Colony, Krishnaraja, reported that an armed group waylaid the complainant on a deserted stretch and robbed the collection amount. The incident occurred within the limits of Nanjangud Police Station in Mysuru district."
72,104300011202600001,202600001,2026-05-11,25,11,1,2,1,2,3,6,2026-05-09 08:33:00,2026-05-09 10:33:00,2026-05-11 08:33:00,17.34564,76.8539,"On 2026-05-09, Kiran Rao, a resident of 8, Main Road, Kalaburagi City, reported that entry was gained through an unsecured rear window and the almirah was ransacked. The incident occurred within the limits of Kalaburagi City Police Station in Kalaburagi district."
73,104500009202400002,202400002,2024-09-28,23,9,1,2,1,1,3,4,2024-09-27 20:44:00,2024-09-27 22:44:00,2024-09-28 20:44:00,12.28221,76.29668,"On 2024-09-27, Vinay Swamy, a resident of 56, Main Road, Nanjangud, reported that suspects on a motorcycle without a number plate snatched the chain near a bus stop. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
74,104430005202500010,202500010,2025-07-21,13,5,1,2,1,1,3,1,2025-07-18 12:58:00,2025-07-18 14:58:00,2025-07-21 12:58:00,13.00285,77.58364,"On 2025-07-18, Yusuf Reddy, a resident of 73, Layout, Yelahanka, reported that suspects on a motorcycle without a number plate snatched the chain near a bus stop. The incident occurred within the limits of RT Nagar Police Station in Bengaluru North district."
75,104500009202500006,202500006,2025-10-20,23,9,1,1,4,7,2,4,2025-10-19 00:31:00,2025-10-19 01:31:00,2025-10-20 00:31:00,12.32352,76.27484,"On 2025-10-19, Chetan Hegde, a resident of 28, Main Road, Krishnaraja, reported that a tip-off led to the seizure of contraband from a rented room. The incident occurred within the limits of Hunsur Police Station in Mysuru district."
